file,time,diff
012501_DSC03539.png.csv,01:25:38,0
012502_DSC03540.png.csv,01:25:52,14
012601_DSC03541.png.csv,01:26:10,17
012602_DSC03542.png.csv,01:26:22,12
013001_DSC03543.png.csv,01:30:54,264
013101_DSC03544.png.csv,01:31:04,10
013201_DSC03545.png.csv,01:32:28,82
013701_DSC03546.png.csv,01:37:30,294
014201_DSC03547.png.csv,01:42:40,301
014202_DSC03548.png.csv,01:42:48,8
014301_DSC03549.png.csv,01:43:02,14
014302_DSC03550.png.csv,01:43:12,10
014303_DSC03551.png.csv,01:43:20,8
014304_DSC03552.png.csv,01:43:32,12
014801_DSC03553.png.csv,01:48:10,270
014802_DSC03554.png.csv,01:48:18,8
015201_DSC03555.png.csv,01:52:02,218
015301_DSC03556.png.csv,01:53:52,107
015501_DSC03557.png.csv,01:55:04,70
020901_DSC03558.png.csv,02:09:28,840
021001_DSC03559.png.csv,02:10:06,37
021901_DSC03560.png.csv,02:19:08,527
021902_DSC03561.png.csv,02:19:18,10
021903_DSC03562.png.csv,02:19:26,8
021904_DSC03563.png.csv,02:19:34,8
021905_DSC03564.png.csv,02:19:42,8
021906_DSC03565.png.csv,02:19:48,6
