color,color_hue,color_sat,color_bri,021903_DSC03562.png,percentage
-16448502,177.08333,153.0,10.0,182929,23.26
-15463413,4.722222,114.75,20.0,104287,13.26
-15135219,3.5416658,122.399994,25.0,59376,07.55
-15988213,233.75,42.5,12.0,51448,06.54
-16185845,195.5,115.909096,11.0,34141,04.34
-14937583,3.8636353,100.178566,28.0,29984,03.81
-16448250,170.0,42.5,6.0,25737,03.27
-14937843,11.333333,136.60713,28.0,25185,03.20
-13952237,14.166666,142.32559,43.0,23645,03.01
-14478323,13.522727,160.28572,35.0,22882,02.91
-15595258,10.625,170.0,18.0,21991,02.80
-14477806,9.999999,123.85714,35.0,19794,02.52
-15922938,18.214285,137.3077,13.0,18725,02.38
-14280429,13.421052,127.5,38.0,16915,02.15
-16316406,155.83333,76.5,10.0,9593,01.22
-15396594,18.214285,85.0,21.0,7561,00.96
-13492972,12.75,153.0,50.0,7509,00.95
-15332857,8.499999,173.86363,22.0,7450,00.95
-14084082,15.740742,167.92683,41.0,7284,00.93
-16054779,7.0833344,139.09091,11.0,6927,00.88
-14149355,8.947368,121.125,40.0,6360,00.81
-15661307,7.0833344,180.0,17.0,6167,00.78
-12113640,15.372341,168.80281,71.0,6001,00.76
-12901867,14.5394745,164.23729,59.0,5755,00.73
-15528687,226.66667,80.52631,19.0,5207,00.66
-12376557,16.822916,182.68657,67.0,5095,00.65
-13360875,16.451612,152.01923,52.0,4162,00.53
-9947111,16.677216,193.70192,104.0,4057,00.52
-13426150,13.599999,125.0,51.0,4026,00.51
-10931430,16.865078,180.50562,89.0,3947,00.50
-7976931,17.40476,199.81343,134.0,3619,00.46
-15134959,246.50002,102.0,25.0,3524,00.45
-15396591,0.0,48.57143,21.0,3235,00.41
-15922415,184.16667,90.0,17.0,3249,00.41
-8830180,17.82258,195.99173,121.0,3212,00.41
-15003386,22.261906,198.33334,27.0,3047,00.39
-12835046,16.25,144.5,60.0,3015,00.38
-9093863,16.630436,200.51282,117.0,2880,00.37
-11916010,18.798079,179.1892,74.0,2845,00.36
-13165036,12.142857,162.27272,55.0,2773,00.35
-11260394,16.451612,188.21428,84.0,2570,00.33
-16317167,177.08333,180.0,17.0,2082,00.26
-7253724,17.545872,191.68965,145.0,2009,00.26
-14870761,0.0,52.75862,29.0,1719,00.22
-7057380,18.416668,206.75676,148.0,1666,00.21
-6005723,18.405512,197.46951,164.0,1574,00.20
-13625331,13.357142,185.9375,48.0,1327,00.17
-9287129,19.833332,167.76315,114.0,1019,00.13
-11520989,16.055553,143.4375,80.0,966,00.12
-9813219,20.974026,185.23586,106.0,962,00.12
-13557482,17.314814,140.5102,49.0,753,00.10
-5216205,18.02,181.10796,176.0,624,00.08
-5610713,19.465649,196.5,170.0,554,00.07
-3893674,24.727274,143.11224,196.0,536,00.07
-13293532,9.999999,81.79245,53.0,453,00.06
-2307682,29.475807,71.86364,220.0,451,00.06
-9806515,23.448277,69.76415,106.0,410,00.05
-461094,39.666668,30.846773,248.0,381,00.05
-10991826,25.297619,121.704544,88.0,311,00.04
-9817331,17.365593,223.72641,106.0,259,00.03
-10210530,12.75,178.5,100.0,157,00.02
-9606267,173.26923,49.849625,133.0,44,00.01
-15136745,217.5,173.40001,25.0,47,00.01
-16051704,72.25,141.66667,18.0,19,00.00
