color,color_hue,color_sat,color_bri,014201_DSC03547.png,percentage
-16514042,170.0,85.0,6.0,327760,41.68
-16448503,178.5,141.66667,9.0,275519,35.03
-16186107,0.0,113.333336,9.0,40154,05.11
-16185846,201.875,102.0,10.0,28388,03.61
-15463414,8.499999,127.5,20.0,22758,02.89
-16316404,161.50002,106.25,12.0,19854,02.52
-15922934,244.375,78.46154,13.0,17030,02.17
-15922938,18.214285,137.3077,13.0,15356,01.95
-15003124,16.999998,141.66667,27.0,6998,00.89
-16447228,76.49999,141.66667,9.0,7029,00.89
-15595002,14.166666,170.0,18.0,6689,00.85
-15135220,6.538461,132.59999,25.0,5462,00.69
-14411246,18.888887,127.5,36.0,2178,00.28
-15331059,18.888887,104.318184,22.0,1345,00.17
-14017261,18.478262,139.64285,42.0,1190,00.15
-15661559,243.40909,165.0,17.0,900,00.11
-14608883,19.124998,154.54546,33.0,754,00.10
-14477042,22.261906,153.0,35.0,636,00.08
-15596028,6.0714283,198.33334,18.0,628,00.08
-14937071,11.590908,100.178566,28.0,570,00.07
-15070204,15.454546,215.76923,26.0,516,00.07
-13819627,21.25,136.0,45.0,456,00.06
-14608879,13.28125,123.63637,33.0,462,00.06
-15003386,22.261906,198.33334,27.0,467,00.06
-15330808,30.357143,162.27272,22.0,220,00.03
-13819623,16.999998,113.333336,45.0,221,00.03
-15071995,0.0,205.96153,26.0,238,00.03
-13294057,21.25,144.33961,53.0,261,00.03
-14149367,21.935484,197.625,40.0,247,00.03
-14350072,1.4655181,199.86487,37.0,174,00.02
-14214375,6.0714283,91.53847,39.0,153,00.02
-11847897,18.888887,122.399994,75.0,118,00.02
-12176358,25.113638,160.28572,70.0,138,00.02
-202064,32.43421,76.90476,252.0,48,00.01
-13430515,4.473685,190.0,51.0,93,00.01
-10143469,19.69512,207.02971,101.0,59,00.01
-1781347,31.126759,79.4079,228.0,55,00.01
-13294327,27.045454,211.69812,53.0,84,00.01
-11123413,25.697674,127.5,86.0,77,00.01
-5663644,29.565218,104.11243,169.0,65,00.01
-6876127,250.78244,221.22516,151.0,61,00.01
-15397870,226.66667,109.28571,21.0,101,00.01
-13293531,7.96875,76.98113,53.0,54,00.01
-16054766,187.70833,170.0,18.0,97,00.01
-11718383,22.666666,198.7013,77.0,84,00.01
-11794933,251.96428,234.86842,76.0,108,00.01
-9745110,22.884617,154.90654,107.0,52,00.01
-9613282,26.898733,184.81651,109.0,50,00.01
-9500398,251.25,234.32433,111.0,63,00.01
-15067883,0.0,49.038464,26.0,116,00.01
-2471081,251.43358,167.27065,218.0,36,00.00
-14540513,28.333332,22.5,34.0,4,00.00
-14869205,170.0,83.023254,43.0,16,00.00
-13617327,160.98485,103.888885,81.0,15,00.00
-862616,33.876812,145.41322,242.0,19,00.00
-10128480,159.91525,94.03125,160.0,13,00.00
-7639219,23.306452,113.741005,139.0,31,00.00
-3167928,30.537037,166.30435,207.0,15,00.00
-2119282,14.166666,92.62332,223.0,26,00.00
-9477811,24.999998,78.10811,111.0,38,00.00
-15920881,106.25,60.0,17.0,8,00.00
-5460283,166.6,32.360405,197.0,13,00.00
-5272277,31.55303,192.34285,175.0,30,00.00
-7443674,28.197117,186.76056,142.0,32,00.00
