color,color_hue,color_sat,color_bri,015201_DSC03555.png,percentage
-16448502,177.08333,153.0,10.0,230963,29.37
-16053747,184.16667,58.846153,13.0,138662,17.63
-16251124,178.5,106.25,12.0,96417,12.26
-15922159,178.5,75.0,17.0,67154,08.54
-15461869,233.75,25.5,20.0,27966,03.56
-15461875,30.357143,89.25,20.0,25003,03.18
-16448250,170.0,42.5,6.0,22876,02.91
-16316405,159.375,92.72727,11.0,22243,02.83
-15067886,15.9375,78.46154,26.0,19709,02.51
-14869997,29.75,87.93104,29.0,15259,01.94
-16119290,42.5,102.0,10.0,14996,01.91
-14541548,27.321428,105.0,34.0,11422,01.45
-15068147,22.884617,127.5,26.0,9076,01.15
-15593972,14.166666,85.0,18.0,8105,01.03
-15659245,191.25,53.68421,19.0,6210,00.79
-14343915,31.875,110.27027,37.0,6192,00.79
-15396071,184.16667,61.199997,25.0,4912,00.62
-13489126,31.875,122.399994,50.0,4450,00.57
-14015206,29.21875,97.14286,42.0,4226,00.54
-14476007,16.999998,72.85715,35.0,3549,00.45
-16185839,181.5909,165.0,17.0,3569,00.45
-14015468,30.909092,133.57144,42.0,3570,00.45
-14278119,29.423077,87.23685,38.0,3350,00.43
-16185596,25.5,141.66667,9.0,3365,00.43
-16382959,176.53847,195.0,17.0,3306,00.42
-12963046,33.203125,140.68965,58.0,2880,00.37
-15067113,14.166666,29.423077,26.0,2736,00.35
-14870258,31.166666,131.89655,29.0,2506,00.32
-13752042,33.645836,133.04347,46.0,2097,00.27
-13752037,31.31579,105.32609,46.0,1670,00.21
-15922407,176.07143,142.8,25.0,1514,00.19
-12436707,34.459457,142.95454,66.0,1435,00.18
-11779036,34.0,134.21053,76.0,1365,00.17
-11253210,33.260868,139.64285,84.0,1296,00.16
-13423851,31.166666,150.0,51.0,1271,00.16
-15397881,15.178572,170.0,21.0,1207,00.15
-14410996,26.5625,170.0,36.0,1169,00.15
-12305628,30.546875,120.0,68.0,1109,00.14
-14346220,9.999999,117.16216,37.0,1091,00.14
-15199482,30.694443,191.25,24.0,924,00.12
-12962781,31.413044,101.12069,58.0,865,00.11
-10923984,33.17073,117.47192,89.0,553,00.07
-10135505,32.268517,136.33664,101.0,587,00.07
-11779298,34.184784,154.3421,76.0,495,00.06
-13620444,24.79167,63.75,48.0,410,00.05
-13884148,33.203125,185.45454,44.0,348,00.04
-6713499,34.32692,86.66667,153.0,268,00.03
-659241,35.416664,31.22449,245.0,267,00.03
-3423585,33.80682,55.27094,203.0,234,00.03
-12241128,29.277779,166.30435,69.0,226,00.03
-9542066,31.875,74.181816,110.0,214,00.03
-9280202,33.291668,134.21053,114.0,256,00.03
-15790068,53.125,63.75,16.0,122,00.02
-15593960,187.0,106.25,24.0,191,00.02
-3753877,35.96154,117.19697,198.0,118,00.02
-12175312,15.454546,80.14286,70.0,65,00.01
-11330793,2.8333333,184.33736,83.0,63,00.01
-14673119,205.41667,46.363636,33.0,59,00.01
-7837366,21.25,116.25,136.0,71,00.01
-12242929,25.972221,199.56522,69.0,80,00.01
-13692916,4.8571424,189.89362,47.0,58,00.01
-12831927,187.38637,76.84932,73.0,38,00.00
-10991230,181.1842,111.80769,130.0,4,00.00
-14210792,47.500004,105.731705,41.0,20,00.00
