color,color_hue,color_sat,color_bri,021001_DSC03559.png,percentage
-16514044,0.0,0.0,4.0,360384,45.83
-15988474,21.25,127.5,12.0,110339,14.03
-16120317,18.214285,178.5,10.0,84098,10.69
-16382456,170.0,63.75,8.0,41694,05.30
-16316412,53.125,127.5,8.0,36990,04.70
-15528695,16.999998,134.21053,19.0,22580,02.87
-15988216,21.25,85.0,12.0,17852,02.27
-15529210,16.346153,174.4737,19.0,16137,02.05
-14937590,18.888887,163.92857,28.0,13929,01.77
-16185592,233.75,56.666668,9.0,12626,01.61
-13952244,20.564518,183.8372,43.0,8976,01.14
-14478069,17.708334,174.85715,35.0,8077,01.03
-15003641,19.124998,188.88889,27.0,7124,00.91
-15135226,17.894737,193.8,25.0,6503,00.83
-15135223,13.28125,163.2,25.0,6477,00.82
-16316151,127.5,56.666668,9.0,5219,00.66
-14084599,17.265625,199.02438,41.0,4493,00.57
-14345972,22.1,172.2973,37.0,3689,00.47
-15661565,9.107143,210.0,17.0,2987,00.38
-14412794,19.833332,212.5,36.0,2824,00.36
-15331061,23.181816,127.5,22.0,2107,00.27
-13425902,21.893938,165.0,51.0,1893,00.24
-13360371,23.974358,191.25,52.0,1346,00.17
-14345711,19.124998,137.83783,37.0,665,00.08
-13951982,16.999998,148.25581,43.0,641,00.08
-13031917,21.25,170.0,57.0,538,00.07
-12965358,25.5,175.86208,58.0,560,00.07
-15268346,0.0,188.47826,23.0,512,00.07
-13162471,21.25,139.09091,55.0,388,00.05
-12375020,21.702127,178.8806,67.0,411,00.05
-13031667,25.113638,196.8421,57.0,411,00.05
-12045545,24.285713,173.54167,72.0,283,00.04
-13819630,23.611113,153.0,45.0,226,00.03
-14480121,9.107143,204.0,35.0,263,00.03
-14083835,23.611113,223.90244,41.0,248,00.03
-15002606,9.444444,85.0,27.0,204,00.03
-14412268,5.3125,113.333336,36.0,225,00.03
-13558259,20.069445,187.34694,49.0,271,00.03
-13492719,16.742424,168.3,50.0,153,00.02
-13819636,27.045454,187.0,45.0,123,00.02
-11783407,24.491526,197.96053,76.0,159,00.02
-1254742,30.909092,71.31356,236.0,121,00.02
-13884902,18.888887,104.318184,44.0,141,00.02
-11913178,21.25,124.054054,74.0,138,00.02
-9808595,27.868853,146.74529,106.0,171,00.02
-10991828,26.079546,127.5,88.0,184,00.02
-3099830,33.30224,164.27885,208.0,41,00.01
-10006237,28.75,168.34952,103.0,68,00.01
-5201008,25.234375,46.363636,176.0,45,00.01
-9543606,25.972221,83.454544,110.0,110,00.01
-2708326,12.75,71.49533,214.0,40,00.01
-15398126,225.25,121.42857,21.0,68,00.01
-7771099,30.175001,186.1314,137.0,47,00.01
-11003629,3.6956513,199.94319,88.0,76,00.01
-5926039,29.75,92.72727,165.0,107,00.01
-13621978,251.13637,58.4375,48.0,63,00.01
-15265018,32.5,188.47826,23.0,76,00.01
-13362682,18.478262,225.57692,52.0,74,00.01
-7376047,23.306452,110.55944,143.0,78,00.01
-266540,28.333332,39.621513,251.0,56,00.01
-7067857,251.88074,187.80406,148.0,12,00.00
-13562871,3.1874995,208.16327,49.0,39,00.00
-13031088,187.4359,124.3125,80.0,18,00.00
-12832489,29.864864,157.25,60.0,34,00.00
