color,color_hue,color_sat,color_bri,013201_DSC03545.png,percentage
-16514043,170.0,51.0,5.0,371334,47.22
-16448503,178.5,141.66667,9.0,166454,21.17
-16053750,0.0,23.181818,11.0,60907,07.74
-16316413,51.0,159.375,8.0,50781,06.46
-16184827,51.0,127.5,10.0,46968,05.97
-16185851,10.625,113.333336,9.0,23395,02.97
-16185590,198.33333,76.5,10.0,22417,02.85
-15527412,36.428574,93.947365,19.0,14951,01.90
-16316151,127.5,56.666668,9.0,8675,01.10
-15659510,24.285713,105.0,17.0,3401,00.43
-15133427,28.333332,122.399994,25.0,3135,00.40
-15527418,39.23077,174.4737,19.0,1817,00.23
-15659770,27.045454,165.0,17.0,1090,00.14
-15395823,31.875,48.57143,21.0,967,00.12
-15133167,26.5625,81.6,25.0,722,00.09
-14935795,34.0,136.60713,28.0,534,00.07
-13949159,33.055553,106.74419,43.0,465,00.06
-14869997,29.75,87.93104,29.0,485,00.06
-461353,38.63636,33.931454,248.0,364,00.05
-14343660,35.0,117.16216,37.0,390,00.05
-15464953,251.96428,178.5,20.0,325,00.04
-13093339,38.026314,86.51785,56.0,283,00.04
-11449040,37.348484,103.888885,81.0,309,00.04
-4935286,39.464283,59.5,180.0,338,00.04
-65542,51.0,5.0,255.0,353,00.04
-921911,39.3125,42.323654,241.0,314,00.04
-15790069,51.0,79.6875,16.0,286,00.04
-14541549,28.333332,112.5,34.0,349,00.04
-3356519,39.166668,63.75,204.0,210,00.03
-2369356,39.23077,45.41096,219.0,216,00.03
-7040916,38.249996,68.918915,148.0,219,00.03
-2895960,38.546513,51.966824,211.0,247,00.03
-14476534,28.900002,182.14287,35.0,210,00.03
-13489125,31.413044,117.3,50.0,214,00.03
-9277875,37.905407,82.76316,114.0,268,00.03
-66328,38.63636,22.086615,254.0,253,00.03
-16053487,170.0,90.0,17.0,224,00.03
-1251144,39.23077,56.18644,236.0,176,00.02
-15001852,35.108696,217.22223,27.0,179,00.02
-5462151,38.333336,75.610466,172.0,172,00.02
-15594220,200.35715,89.25,20.0,136,00.02
-65804,42.5,10.03937,254.0,170,00.02
-13890808,3.5416658,208.63637,44.0,130,00.02
-7698856,39.100002,92.391304,138.0,159,00.02
-10310667,148.89456,153.0,245.0,61,00.01
-13410655,153.38635,174.2236,161.0,40,00.01
-5096399,3.62403,184.80338,178.0,74,00.01
-14410984,10.625,85.0,36.0,94,00.01
-1985971,29.003378,167.73334,225.0,43,00.01
-16181978,152.41379,194.60527,38.0,43,00.01
-11395056,10.30303,205.24391,82.0,111,00.01
-10330553,36.2037,70.2551,98.0,112,00.01
-13620464,35.859375,170.0,48.0,105,00.01
-13554655,29.21875,83.265305,49.0,105,00.01
-15001575,240.83333,28.333334,27.0,68,00.01
-10200276,35.669643,142.8,100.0,115,00.01
-5989012,37.1875,87.07317,164.0,113,00.01
-1843792,37.5,57.29075,227.0,104,00.01
-1384251,31.013515,40.320515,234.0,66,00.01
-3557229,29.12037,68.50747,201.0,53,00.01
-8159913,36.704544,85.64886,131.0,32,00.00
-15920891,56.666664,180.0,17.0,36,00.00
-15520168,153.36955,199.94319,88.0,38,00.00
-1516393,36.2037,89.030174,232.0,27,00.00
