color,color_hue,color_sat,color_bri,021906_DSC03565.png,percentage
-16382966,184.16667,153.0,10.0,108484,13.79
-15002607,12.75,94.44444,27.0,69719,08.87
-14410989,19.999998,120.416664,36.0,62529,07.95
-15331059,18.888887,104.318184,22.0,54365,06.91
-16185588,187.0,106.25,12.0,50367,06.40
-15988212,212.5,42.5,12.0,45489,05.78
-15528437,15.9375,107.36842,19.0,42508,05.41
-15002867,18.214285,132.22221,27.0,40158,05.11
-14017004,19.31818,133.57144,42.0,30853,03.92
-14804717,23.181816,93.5,30.0,23967,03.05
-15396334,0.0,36.428574,21.0,23861,03.03
-14608878,11.333333,115.909096,33.0,20926,02.66
-16448250,170.0,42.5,6.0,19484,02.48
-14542578,23.375,150.0,34.0,17044,02.17
-13950443,25.113638,130.46512,43.0,15530,01.97
-14804978,26.5625,136.0,30.0,12094,01.54
-15922159,178.5,75.0,17.0,11694,01.49
-14608627,21.25,154.54546,33.0,11651,01.48
-15922938,18.214285,137.3077,13.0,11271,01.43
-16316406,155.83333,76.5,10.0,10659,01.36
-14410727,11.590908,77.916664,36.0,10229,01.30
-15135220,6.538461,132.59999,25.0,8560,01.09
-13884647,22.368422,110.11364,44.0,7572,00.96
-15593967,223.125,56.666668,18.0,7449,00.95
-15528954,19.615383,174.4737,19.0,6785,00.86
-15134458,24.605263,193.8,25.0,5543,00.70
-16185851,10.625,113.333336,9.0,4698,00.60
-14212842,27.5,111.15385,39.0,4503,00.57
-13358310,27.788462,127.5,52.0,4369,00.56
-13556715,22.767857,145.7143,49.0,3459,00.44
-12897509,31.875,138.30508,59.0,3405,00.43
-13556454,20.326088,119.69388,49.0,3055,00.39
-16317167,177.08333,180.0,17.0,2954,00.38
-14083058,22.037037,167.92683,41.0,2906,00.37
-14082535,13.28125,99.51219,41.0,2863,00.36
-13293032,26.379309,139.5283,53.0,2770,00.35
-7189991,17.210743,211.33562,146.0,2316,00.29
-9423338,15.11111,204.9107,112.0,2229,00.28
-11318744,33.604652,132.10844,83.0,1892,00.24
-15001831,233.75,37.77778,27.0,1884,00.24
-12114412,14.999999,183.16902,71.0,1701,00.22
-5744357,18.687944,214.01787,168.0,1595,00.20
-12371683,31.31579,144.62686,67.0,1412,00.18
-11261422,15.454546,200.35713,84.0,1344,00.17
-13362160,14.166666,176.53847,52.0,1270,00.16
-10004177,31.875,138.64078,103.0,930,00.12
-4889828,19.72222,215.55249,181.0,753,00.10
-12240350,29.142855,129.34782,69.0,778,00.10
-15331820,223.125,92.72727,22.0,728,00.09
-3707102,19.833332,211.43216,199.0,607,00.08
-12963551,27.199999,109.91379,58.0,525,00.07
-198182,38.749996,34.404762,252.0,354,00.05
-5153253,18.983334,216.1017,177.0,410,00.05
-13884914,28.333332,173.86363,44.0,357,00.05
-3217462,79.137924,32.012985,231.0,289,00.04
-5874653,18.492367,201.23494,166.0,333,00.04
-7721449,8.499999,212.5,138.0,262,00.03
-10516046,148.49397,118.904495,178.0,125,00.02
-4741013,34.11184,105.90164,183.0,195,00.02
-15197144,159.375,102.0,40.0,74,00.01
-13547937,150.59782,123.47369,95.0,80,00.01
-3847091,254.64876,156.62436,197.0,105,00.01
-11002604,5.625,197.04546,88.0,106,00.01
-15986164,85.0,85.0,18.0,5,00.00
