color,color_hue,color_sat,color_bri,014304_DSC03552.png,percentage
-15987694,170.0,85.0,18.0,138620,17.63
-16448244,170.0,148.75,12.0,119938,15.25
-16053747,184.16667,58.846153,13.0,106245,13.51
-15461613,0.0,12.75,20.0,37400,04.76
-16316403,162.91667,117.69231,13.0,30199,03.84
-15001068,36.428574,66.11111,27.0,23076,02.93
-16251124,178.5,106.25,12.0,21995,02.80
-16448239,170.0,180.0,17.0,17846,02.27
-14476269,23.90625,116.57143,35.0,17716,02.25
-16381679,158.4091,165.0,17.0,15761,02.00
-15527410,34.0,67.10526,19.0,15665,01.99
-15132910,30.357143,71.4,25.0,14621,01.86
-15263724,53.125,42.5,24.0,13454,01.71
-13360363,19.193546,152.01923,52.0,12337,01.57
-16119290,42.5,102.0,10.0,12273,01.56
-13950188,27.71739,136.39536,43.0,10816,01.38
-14409195,36.833336,106.25,36.0,10498,01.33
-14935015,42.5,27.321428,28.0,9256,01.18
-15395815,178.5,51.0,25.0,9258,01.18
-13031400,20.60606,147.63158,57.0,8767,01.11
-16053738,173.54167,139.09091,22.0,8624,01.10
-16382202,85.0,36.428574,7.0,8281,01.05
-13488870,33.645836,122.399994,50.0,8102,01.03
-14936819,22.666666,136.60713,28.0,7248,00.92
-12966379,19.527029,162.67242,58.0,7199,00.92
-14017006,21.25,145.7143,42.0,7026,00.89
-14015207,29.999998,103.21429,42.0,6438,00.82
-13817322,36.956524,130.33334,45.0,6365,00.81
-13291235,35.416664,115.4717,53.0,6255,00.80
-12896741,35.859375,138.30508,59.0,5988,00.76
-12244458,18.085106,173.69566,69.0,5843,00.74
-14408934,38.249996,70.833336,36.0,5776,00.73
-14541545,23.181816,82.5,34.0,5411,00.69
-13817317,35.416664,102.0,45.0,4930,00.63
-14542322,25.5,150.0,34.0,4835,00.61
-13028062,35.108696,102.89474,57.0,4520,00.57
-11129067,16.999998,192.73256,86.0,3456,00.44
-9750506,16.999998,202.5701,107.0,3185,00.40
-14935794,33.392857,127.5,28.0,3104,00.39
-11909852,36.907894,130.94594,74.0,2770,00.35
-12306404,29.75,150.0,68.0,2714,00.35
-15724780,178.5,63.75,20.0,2747,00.35
-14211046,45.535713,89.25,40.0,2387,00.30
-7648229,18.59375,205.46762,139.0,2256,00.29
-15659509,21.25,90.0,17.0,1971,00.25
-11186135,37.670452,132.0,85.0,1778,00.23
-5742303,20.148148,204.9107,168.0,1636,00.21
-14280178,21.25,161.05263,38.0,1392,00.18
-3235000,28.861938,165.8738,206.0,1141,00.15
-12240350,29.142855,129.34782,69.0,1168,00.15
-9935307,40.833336,125.04807,104.0,1118,00.14
-263203,42.5,30.478088,251.0,762,00.10
-13558256,18.030304,171.7347,49.0,784,00.10
-13685726,32.69231,70.53191,47.0,710,00.09
-339619,31.401274,160.14,250.0,466,00.06
-1908567,41.00877,64.314156,226.0,411,00.05
-14802919,54.64286,55.78125,32.0,401,00.05
-15855345,99.166664,45.0,17.0,352,00.04
-10009059,23.547297,183.20389,103.0,351,00.04
-5416412,16.751825,201.93642,173.0,228,00.03
-9721906,144.24243,122.548546,206.0,144,00.02
-9881310,13.767607,172.42857,105.0,194,00.02
-13753586,27.890625,177.39131,46.0,133,00.02
-10854327,53.586956,61.09375,96.0,91,00.01
