color,color_hue,color_sat,color_bri,014303_DSC03551.png,percentage
-16579835,170.0,102.0,5.0,390347,49.64
-16448503,178.5,141.66667,9.0,203170,25.83
-15988474,21.25,127.5,12.0,33181,04.22
-15988214,0.0,42.5,12.0,32944,04.19
-16316413,51.0,159.375,8.0,25625,03.26
-16185590,198.33333,76.5,10.0,22135,02.81
-16185852,16.999998,141.66667,9.0,21434,02.73
-15529207,8.499999,134.21053,19.0,15144,01.93
-15595258,10.625,170.0,18.0,8666,01.10
-16316151,127.5,56.666668,9.0,6559,00.83
-15004666,12.142857,198.33334,27.0,4638,00.59
-15004663,7.0833344,170.0,27.0,4635,00.59
-15661307,7.0833344,180.0,17.0,1943,00.25
-14479093,10.625,174.85715,35.0,1802,00.23
-13954549,9.296875,189.76744,43.0,1077,00.14
-15527411,35.416664,80.52631,19.0,995,00.13
-13429494,11.402438,205.0,51.0,957,00.12
-14545143,10.200001,187.5,34.0,811,00.10
-12379382,12.675439,216.94029,67.0,721,00.09
-13889274,12.302633,220.22728,44.0,610,00.08
-11854581,11.953125,217.6,75.0,620,00.08
-12838645,12.142857,208.25,60.0,522,00.07
-14872309,14.166666,158.27585,29.0,513,00.07
-15464953,251.96428,178.5,20.0,503,00.06
-13167097,13.28125,222.54546,55.0,460,00.06
-9950710,14.468085,230.48077,104.0,438,00.06
-10803957,13.812499,224.17583,91.0,370,00.05
-12970487,11.27551,215.43103,58.0,395,00.05
-11394548,13.357142,217.68294,82.0,394,00.05
-14545658,10.625,210.0,34.0,379,00.05
-8834547,14.560185,227.6033,121.0,364,00.05
-8112108,13.660715,216.36365,132.0,303,00.04
-15199482,30.694443,191.25,24.0,266,00.03
-6514071,40.833336,83.36539,156.0,207,00.03
-14347514,17.82258,213.64864,37.0,245,00.03
-11722484,13.730768,215.25974,77.0,222,00.03
-9229044,13.616506,228.39131,115.0,259,00.03
-8768494,13.894231,217.37704,122.0,225,00.03
-10857682,35.738636,124.666664,90.0,124,00.02
-10869754,15.178572,238.0,90.0,179,00.02
-11065838,12.31884,202.24138,87.0,155,00.02
-9490416,14.31579,218.24326,111.0,130,00.02
-10081773,11.777108,207.5,102.0,167,00.02
-6265823,22.421259,202.40625,160.0,143,00.02
-13883119,37.77778,156.47728,44.0,165,00.02
-15330543,16.999998,57.954548,22.0,146,00.02
-12183290,12.6171875,233.14285,70.0,187,00.02
-16119534,174.72223,127.5,18.0,150,00.02
-14021114,9.444444,218.57143,42.0,161,00.02
-11852014,15.657896,193.8,75.0,41,00.01
-7982322,13.104167,228.35822,134.0,40,00.01
-6284510,252.76317,211.96875,160.0,41,00.01
-4736890,43.350002,69.29348,184.0,53,00.01
-11527925,8.623189,219.9375,80.0,64,00.01
-1882048,2.0858905,183.10573,227.0,43,00.01
-13800771,151.99652,194.28572,189.0,46,00.01
-9408436,42.5,81.96429,112.0,105,00.01
-12876585,150.11218,185.02325,215.0,21,00.00
-3356014,41.03448,72.5,204.0,33,00.00
-13626868,7.0833344,191.25,48.0,34,00.00
-14933464,148.75,76.5,40.0,35,00.00
-9760240,0.9340659,216.86916,107.0,25,00.00
-14730917,151.58333,168.13187,91.0,35,00.00
-3760050,29.041666,154.54546,198.0,30,00.00
