color,color_hue,color_sat,color_bri,015301_DSC03556.png,percentage
-16382709,177.08333,139.09091,11.0,213580,27.16
-16053492,170.0,21.25,12.0,168561,21.43
-16251123,177.08333,117.69231,13.0,80013,10.17
-15527411,35.416664,80.52631,19.0,41795,05.31
-16316405,159.375,92.72727,11.0,34905,04.44
-15922159,178.5,75.0,17.0,31800,04.04
-16119290,42.5,102.0,10.0,29696,03.78
-15461614,21.25,25.5,20.0,28328,03.60
-16448250,170.0,42.5,6.0,24303,03.09
-14935533,33.055553,81.96429,28.0,17734,02.25
-15133166,24.285713,71.4,25.0,14670,01.87
-16381947,70.833336,95.625,8.0,9778,01.24
-15067891,26.153845,127.5,26.0,8701,01.11
-14541549,28.333332,112.5,34.0,8724,01.11
-14409195,36.833336,106.25,36.0,7446,00.95
-15659509,21.25,90.0,17.0,5595,00.71
-14015212,32.840908,133.57144,42.0,4608,00.59
-14935794,33.392857,127.5,28.0,4439,00.56
-14015207,29.999998,103.21429,42.0,3874,00.49
-16251374,177.08333,170.0,18.0,3661,00.47
-13423590,30.6,125.0,51.0,3579,00.46
-16382959,176.53847,195.0,17.0,3440,00.44
-15263977,0.0,0.0,23.0,3472,00.44
-14343399,35.416664,82.7027,37.0,3325,00.42
-13752043,34.0,138.58696,46.0,2298,00.29
-14476009,21.25,87.42857,35.0,2206,00.28
-12962789,34.274197,136.2931,58.0,2086,00.27
-16185597,28.333332,170.0,9.0,1832,00.23
-14542066,27.624998,150.0,34.0,1776,00.23
-13489387,32.24138,147.9,50.0,1727,00.22
-15330553,34.0,173.86363,22.0,1715,00.22
-12436708,34.671055,146.81818,66.0,1699,00.22
-13817573,33.055553,102.0,45.0,1739,00.22
-15528698,22.884617,174.4737,19.0,1597,00.20
-13028327,35.859375,143.1579,57.0,1528,00.19
-15724781,180.625,53.68421,19.0,1209,00.15
-11910109,35.96154,134.39189,74.0,1134,00.14
-15922152,173.54167,127.5,24.0,1039,00.13
-14412022,21.25,184.16666,36.0,675,00.09
-11252692,34.0,121.42857,84.0,697,00.09
-13884147,32.903225,179.65909,44.0,609,00.08
-15790069,51.0,79.6875,16.0,575,00.07
-13160156,29.078949,88.09091,55.0,528,00.07
-12305628,30.546875,120.0,68.0,529,00.07
-12306664,29.943184,165.0,68.0,298,00.04
-6385048,33.055553,87.15189,158.0,324,00.04
-9673394,32.583332,70.833336,108.0,303,00.04
-9806284,33.055553,129.90567,106.0,331,00.04
-1121331,28.333332,35.357143,238.0,255,00.03
-11976162,35.581394,150.20549,73.0,228,00.03
-13359338,24.083334,147.11539,52.0,227,00.03
-13626354,7.4999995,180.625,48.0,219,00.03
-3819364,29.024391,53.071064,197.0,213,00.03
-7572399,25.211866,107.46429,140.0,162,00.02
-11851245,17.455357,190.4,75.0,71,00.01
-13226163,179.91669,99.35065,77.0,60,00.01
-3952548,34.660194,134.69232,195.0,71,00.01
-10937322,3.8059695,191.9663,89.0,90,00.01
-14803680,184.16667,23.90625,32.0,51,00.01
-15659495,181.5909,112.2,25.0,102,00.01
-14211046,45.535713,89.25,40.0,62,00.01
-15790062,155.83333,42.5,18.0,89,00.01
-9998957,164.20456,76.32653,147.0,14,00.00
-7838158,25.697674,161.25,136.0,37,00.00
