color,color_hue,color_sat,color_bri,015501_DSC03557.png,percentage
-16579310,164.33334,212.5,18.0,135521,17.23
-15527148,170.0,12.75,20.0,111850,14.22
-15987693,170.0,93.947365,19.0,70540,08.97
-15461351,170.0,51.0,25.0,60509,07.69
-16579315,161.50002,196.15385,13.0,56393,07.17
-16381677,160.1923,174.4737,19.0,49153,06.25
-16381682,154.0625,145.7143,14.0,23946,03.04
-16053491,170.0,39.23077,13.0,21216,02.70
-15001067,35.416664,56.666668,27.0,20547,02.61
-15263724,53.125,42.5,24.0,19681,02.50
-15001061,212.5,9.444445,27.0,19681,02.50
-15198693,187.0,47.22222,27.0,18747,02.38
-15921895,170.0,122.399994,25.0,15515,01.97
-14409188,31.875,56.666668,36.0,12560,01.60
-15067885,12.142857,68.65385,26.0,11032,01.40
-16447975,167.87498,204.0,25.0,9970,01.27
-15592946,42.5,56.666668,18.0,9559,01.22
-13949668,25.5,88.95348,43.0,8312,01.06
-14541542,15.9375,60.0,34.0,8188,01.04
-14080478,24.285713,43.536587,41.0,7733,00.98
-15724779,177.08333,72.85715,21.0,6165,00.78
-12175067,25.757578,120.21429,70.0,5488,00.70
-12963035,28.333332,92.32758,58.0,5378,00.68
-15790059,162.91667,72.85715,21.0,5309,00.68
-13423326,27.5,85.0,51.0,5294,00.67
-13358308,26.5625,117.69231,52.0,5235,00.67
-7444174,25.40761,165.21127,142.0,5138,00.65
-14014951,32.5,103.21429,42.0,5041,00.64
-9744083,24.67742,147.757,107.0,4917,00.63
-14541803,22.884617,97.5,34.0,4514,00.57
-10992345,26.020409,141.98863,88.0,3676,00.47
-5670604,25.064102,176.53847,169.0,3394,00.43
-16316409,85.0,31.875,8.0,3308,00.42
-15001055,176.07143,54.09091,33.0,2990,00.38
-8956117,24.605263,162.85715,119.0,2870,00.36
-12963555,29.310345,127.5,58.0,2262,00.29
-13095389,22.261906,95.625,56.0,2261,00.29
-8168148,23.936779,169.35115,131.0,2077,00.26
-11582162,29.621212,106.51898,79.0,2009,00.26
-11322077,23.02083,147.46988,83.0,1969,00.25
-11978979,25.113638,153.69864,73.0,1823,00.23
-5012679,25.778688,173.79889,179.0,1717,00.22
-9151697,27.101448,151.68103,116.0,1685,00.21
-4880569,24.727274,154.97237,181.0,1535,00.20
-15067635,29.423077,127.5,26.0,1541,00.20
-15855079,154.54544,112.2,25.0,1335,00.17
-3434161,25.362904,155.76355,203.0,890,00.11
-14543082,3.5416658,90.0,34.0,830,00.11
-15724788,31.875,63.75,16.0,795,00.10
-15659494,180.625,117.69231,26.0,694,00.09
-10067377,35.108696,57.5,102.0,635,00.08
-14606815,212.5,23.181818,33.0,633,00.08
-2962510,33.203125,38.857143,210.0,495,00.06
-13290445,21.25,9.622642,53.0,417,00.05
-6917050,24.4375,136.0,150.0,375,00.05
-7041681,34.459457,63.75,148.0,328,00.04
-3763140,27.101448,177.72726,198.0,199,00.03
-15790558,172.125,150.0,34.0,169,00.02
-14411250,23.181816,155.83333,36.0,182,00.02
-13224118,167.87498,68.918915,74.0,56,00.01
-7838946,27.665094,198.75,136.0,83,00.01
-10395512,171.0625,75.0,136.0,40,00.01
-7455179,4.297752,159.82394,142.0,3,00.00
-11265003,4.722222,191.25,84.0,24,00.00
