color,color_hue,color_sat,color_bri,014801_DSC03553.png,percentage
-16447988,163.92857,148.75,12.0,165752,21.08
-15461356,0.0,0.0,20.0,114681,14.58
-15987950,176.07143,99.16667,18.0,88655,11.27
-16119283,170.0,58.846153,13.0,55040,07.00
-16448239,170.0,180.0,17.0,50245,06.39
-16251124,178.5,106.25,12.0,28448,03.62
-15395559,170.0,40.8,25.0,23303,02.96
-15066347,49.58334,56.666668,27.0,23081,02.93
-15263725,51.0,53.125,24.0,22995,02.92
-15592690,51.0,67.10526,19.0,21286,02.71
-16316403,162.91667,117.69231,13.0,20798,02.64
-15000807,42.5,18.88889,27.0,19460,02.47
-16381678,159.375,170.0,18.0,17400,02.21
-15198444,31.875,42.5,24.0,14303,01.82
-16251116,173.26923,165.75,20.0,13251,01.68
-16448250,170.0,42.5,6.0,11717,01.49
-14474213,47.222225,63.75,36.0,10891,01.38
-15132902,198.33333,29.423077,26.0,10290,01.31
-15987687,170.0,132.59999,25.0,7851,01.00
-13947876,45.15625,92.72727,44.0,6370,00.81
-14474218,45.535713,99.16667,36.0,6040,00.77
-14211045,45.769234,82.875,40.0,5534,00.70
-16119290,42.5,102.0,10.0,4769,00.61
-15855340,148.75,76.5,20.0,3425,00.44
-15263462,141.66667,29.423077,26.0,3357,00.43
-13421796,42.5,115.0,51.0,2980,00.38
-14211050,44.86111,114.75,40.0,2746,00.35
-14737382,49.58334,47.8125,32.0,2348,00.30
-15724780,178.5,63.75,20.0,2250,00.29
-15197939,46.04166,122.399994,25.0,2010,00.26
-13027558,39.758064,138.68422,57.0,2083,00.26
-14013674,44.52381,124.53488,43.0,1973,00.25
-13421533,45.0,83.36539,52.0,1941,00.25
-13027036,42.5,93.947365,57.0,2005,00.25
-14342622,53.125,26.842106,38.0,1987,00.25
-14802667,53.125,92.72727,33.0,1883,00.24
-13947870,46.749996,57.954548,44.0,1731,00.22
-16316411,56.666664,95.625,8.0,1559,00.20
-11119051,42.5,97.84884,86.0,1183,00.15
-12171993,41.129036,112.92857,70.0,1202,00.15
-15790068,53.125,63.75,16.0,1084,00.14
-13684708,44.625,106.25,48.0,957,00.12
-16382183,167.76317,193.8,25.0,722,00.09
-10066358,42.5,70.0,102.0,514,00.07
-11776718,44.074078,89.41559,77.0,504,00.06
-14345194,16.999998,103.37838,37.0,392,00.05
-13487576,42.5,51.0,50.0,404,00.05
-658468,39.100002,26.020409,245.0,401,00.05
-12305884,29.21875,120.0,68.0,411,00.05
-15855079,154.54544,112.2,25.0,279,00.04
-5792149,36.125,91.61677,167.0,302,00.04
-15528949,5.3125,107.36842,19.0,309,00.04
-2632526,39.054054,43.88372,215.0,276,00.04
-13817070,39.351852,153.0,45.0,210,00.03
-11850213,16.822916,163.2,75.0,135,00.02
-15065820,157.24998,70.833336,36.0,172,00.02
-14008253,132.59999,95.149254,67.0,46,00.01
-14867697,55.249996,145.7143,35.0,103,00.01
-5260626,81.458336,16.451612,186.0,99,00.01
-11120601,37.07447,139.36047,86.0,112,00.01
-7515075,12.218751,144.68085,141.0,96,00.01
-10380883,138.68422,112.02312,173.0,32,00.00
-15325927,93.5,103.37838,37.0,18,00.00
-15593959,185.45454,112.2,25.0,31,00.00
