color,color_hue,color_sat,color_bri,013701_DSC03546.png,percentage
-16514042,170.0,85.0,6.0,335571,42.67
-16448503,178.5,141.66667,9.0,218831,27.83
-15988215,14.166666,63.75,12.0,49053,06.24
-15988474,21.25,127.5,12.0,41473,05.27
-16251382,191.25,102.0,10.0,36339,04.62
-15594230,15.9375,113.333336,18.0,28068,03.57
-16316413,51.0,159.375,8.0,21543,02.74
-16185852,16.999998,141.66667,9.0,19741,02.51
-15002867,18.214285,132.22221,27.0,6810,00.87
-16316150,141.66667,76.5,10.0,4968,00.63
-15594746,17.708334,170.0,18.0,4017,00.51
-15396595,21.25,97.14286,21.0,3539,00.45
-15135220,6.538461,132.59999,25.0,3394,00.43
-14411246,18.888887,127.5,36.0,2843,00.36
-14937071,11.590908,100.178566,28.0,1732,00.22
-14082797,19.31818,136.82927,41.0,994,00.13
-14608883,19.124998,154.54546,33.0,795,00.10
-14477042,22.261906,153.0,35.0,733,00.09
-14608879,13.28125,123.63637,33.0,594,00.08
-15596027,3.2692306,184.16666,18.0,552,00.07
-15067886,15.9375,78.46154,26.0,486,00.06
-13819627,21.25,136.0,45.0,411,00.05
-13359079,23.611113,132.40385,52.0,346,00.04
-15202041,4.9999995,180.625,24.0,352,00.04
-15068412,28.977274,215.76923,26.0,313,00.04
-14214905,23.90625,209.23077,39.0,197,00.03
-13884903,20.131578,110.11364,44.0,203,00.03
-14279912,9.107143,93.947365,38.0,225,00.03
-12832485,28.333332,140.25,60.0,155,00.02
-15463151,230.7143,89.25,20.0,158,00.02
-12306396,26.5625,120.0,68.0,149,00.02
-2700656,35.214287,83.41122,214.0,56,00.01
-10069968,31.481483,135.0,102.0,66,00.01
-4937871,34.25373,94.916664,180.0,79,00.01
-67384,37.77778,54.2126,254.0,48,00.01
-6057382,32.60274,114.20245,163.0,115,00.01
-595540,35.033783,76.70732,246.0,91,00.01
-6986205,24.978071,195.10066,149.0,68,00.01
-3297430,29.621212,123.14634,205.0,49,00.01
-1057378,33.055553,86.42259,239.0,61,00.01
-7767987,30.458336,111.67883,137.0,60,00.01
-68168,37.035713,70.27559,254.0,86,00.01
-1583466,33.580246,89.41559,231.0,58,00.01
-6679524,252.46268,221.88312,154.0,47,00.01
-13758712,7.828948,210.65218,46.0,117,00.01
-13490680,30.357143,214.2,50.0,93,00.01
-16185583,178.5,150.0,17.0,109,00.01
-10612467,2.0987642,219.73404,94.0,69,00.01
-11253459,30.51282,118.39285,84.0,91,00.01
-9674163,28.790323,73.19444,108.0,58,00.01
-11980271,25.044643,195.61644,73.0,99,00.01
-13029597,23.181816,98.42105,57.0,62,00.01
-12240591,16.999998,73.91304,69.0,9,00.00
-598412,34.653847,134.75609,246.0,22,00.00
-6835241,151.40625,75.906975,215.0,17,00.00
-10071004,30.909092,165.0,102.0,32,00.00
-2799287,0.0,167.60564,213.0,27,00.00
-2314959,30.818712,198.20454,220.0,28,00.00
-9398315,153.58911,120.91549,213.0,28,00.00
-11901031,154.39873,131.66667,153.0,14,00.00
-2903158,23.869864,88.22275,211.0,33,00.00
-16051697,109.28571,99.16667,18.0,13,00.00
-15460568,163.625,127.5,40.0,20,00.00
-14075300,155.83333,141.35869,92.0,22,00.00
