color,color_hue,color_sat,color_bri,014202_DSC03548.png,percentage
-16514042,170.0,85.0,6.0,333773,42.44
-16382967,187.0,141.66667,9.0,206678,26.28
-16186108,8.499999,141.66667,9.0,60329,07.67
-16251382,191.25,102.0,10.0,59758,07.60
-15988474,21.25,127.5,12.0,26407,03.36
-16316413,51.0,159.375,8.0,25074,03.19
-15528950,9.444444,120.789474,19.0,21944,02.79
-15922935,0.0,78.46154,13.0,14478,01.84
-15595002,14.166666,170.0,18.0,8860,01.13
-15003124,16.999998,141.66667,27.0,6550,00.83
-15135220,6.538461,132.59999,25.0,5298,00.67
-16381940,155.83333,127.5,12.0,2309,00.29
-14017262,19.479166,145.7143,42.0,1584,00.20
-15331059,18.888887,104.318184,22.0,1251,00.16
-14345970,20.326088,158.5135,37.0,1090,00.14
-14345710,17.894737,130.94594,37.0,1130,00.14
-14543347,18.214285,157.5,34.0,1102,00.14
-15661564,6.538461,195.0,17.0,999,00.13
-15135227,19.124998,204.0,25.0,781,00.10
-15661303,246.50002,150.0,17.0,705,00.09
-14871791,7.0833344,105.51724,29.0,652,00.08
-14083314,20.462965,167.92683,41.0,619,00.08
-15068923,24.285713,205.96153,26.0,655,00.08
-14543342,10.625,120.0,34.0,617,00.08
-13491435,20.517242,147.9,50.0,366,00.05
-13819628,22.1,141.66667,45.0,356,00.05
-13162213,21.25,129.81818,55.0,350,00.04
-14149096,5.3125,102.0,40.0,264,00.03
-11319247,28.75,104.45783,83.0,135,00.02
-14346492,24.469698,227.43243,37.0,131,00.02
-15332333,225.25,115.909096,22.0,134,00.02
-13884901,17.499998,98.52273,44.0,125,00.02
-12109528,23.306452,111.33803,71.0,170,00.02
-9674668,21.25,56.666668,108.0,119,00.02
-5463407,26.759258,40.029068,172.0,42,00.01
-10136527,28.60577,131.28714,101.0,55,00.01
-15988462,184.16667,127.5,18.0,64,00.01
-15134933,185.17857,166.04651,43.0,48,00.01
-7507119,24.083334,108.51064,141.0,49,00.01
-12045037,27.26415,187.70833,72.0,84,00.01
-331853,35.915493,72.420006,250.0,73,00.01
-1977954,32.350746,75.933334,225.0,82,00.01
-13293299,29.75,192.45284,53.0,62,00.01
-67898,36.428574,56.22047,254.0,42,00.01
-6122137,33.135593,92.87037,162.0,101,00.01
-15006457,251.13637,207.77777,27.0,113,00.01
-13824757,2.4999998,192.66667,45.0,112,00.01
-13029591,15.9375,71.57895,57.0,60,00.01
-4366525,9.7541,164.60316,189.0,42,00.01
-13227229,17.894737,89.72222,54.0,90,00.01
-15265275,30.694443,199.56522,23.0,65,00.01
-11663605,252.60564,232.11537,78.0,58,00.01
-7006434,252.63889,215.63757,149.0,44,00.01
-12174540,16.527777,65.571434,70.0,56,00.01
-15199468,246.50002,53.125,24.0,102,00.01
-10333406,32.539062,166.53061,98.0,30,00.00
-2444977,29.96403,162.59174,218.0,18,00.00
-2971793,24.040403,120.21429,210.0,31,00.00
-927253,223.125,25.394192,241.0,13,00.00
-2707055,19.710144,82.21962,214.0,23,00.00
-4539683,170.0,40.384617,221.0,22,00.00
-14016441,180.89743,140.07042,71.0,10,00.00
-9210222,165.8871,54.143833,146.0,16,00.00
-9564910,252.80928,224.86363,110.0,32,00.00
