color,color_hue,color_sat,color_bri,014302_DSC03550.png,percentage
-16514042,170.0,85.0,6.0,497508,63.26
-16448760,187.0,159.375,8.0,111686,14.20
-16120571,0.0,127.5,10.0,90034,11.45
-16120567,221.0,127.5,10.0,27129,03.45
-15923194,12.142857,137.3077,13.0,10758,01.37
-15661563,3.5416658,180.0,17.0,7374,00.94
-14939382,2.3611124,163.92857,28.0,6538,00.83
-15529978,6.538461,174.4737,19.0,4921,00.63
-15463927,3.8636353,140.25,20.0,4059,00.52
-14480374,3.3999994,182.14287,35.0,3614,00.46
-15923191,246.50002,98.07693,13.0,3033,00.39
-14939898,5.795454,200.35713,28.0,2479,00.32
-13955574,5.151515,195.69768,43.0,2523,00.32
-14480890,5.8620696,211.28572,35.0,1428,00.18
-15661304,250.75,150.0,17.0,1405,00.18
-15006203,1.9318188,207.77777,27.0,1120,00.14
-15005943,250.75,188.88889,27.0,828,00.11
-13364981,6.2195115,201.0577,52.0,756,00.10
-14413555,7.391305,162.91667,36.0,680,00.09
-13823731,5.3125,181.33334,45.0,745,00.09
-12905717,7.0833344,207.45763,59.0,712,00.09
-13956090,6.891893,219.41861,43.0,639,00.08
-12381429,6.0714283,213.13434,67.0,563,00.07
-11069685,6.710526,222.75862,87.0,439,00.06
-11856630,7.1923075,221.0,75.0,380,00.05
-10085365,7.93956,227.5,102.0,284,00.04
-13365754,7.391305,225.57692,52.0,330,00.04
-13233913,9.042552,221.94444,54.0,277,00.04
-8903925,9.357799,231.625,120.0,285,00.04
-14281196,4.722222,120.789474,38.0,285,00.04
-7196654,9.9609375,223.56165,146.0,293,00.04
-5818095,11.333333,229.04192,167.0,203,00.03
-14481917,3.984375,233.14285,35.0,206,00.03
-13496567,6.2195115,209.09999,50.0,206,00.03
-9558765,8.406593,210.95454,110.0,121,00.02
-4896746,13.364779,224.00552,181.0,179,00.02
-12907258,5.6132083,229.0678,59.0,183,00.02
-7984884,10.10246,232.16418,134.0,189,00.02
-11987959,7.3046875,223.56165,73.0,196,00.02
-9495283,6.938775,225.13513,111.0,128,00.02
-12117998,4.8113194,190.35211,71.0,170,00.02
-15002605,5.3125,75.55556,27.0,159,00.02
-11068654,5.5434794,202.24138,87.0,154,00.02
-15003378,9.807692,122.77778,27.0,136,00.02
-7246489,6.0714283,73.86207,145.0,42,00.01
-11456470,6.538461,122.77778,81.0,51,00.01
-13232622,4.722222,170.0,54.0,117,00.01
-11125186,0.0,71.162796,86.0,51,00.01
-6074836,12.142857,186.16565,163.0,50,00.01
-10069932,9.444444,45.0,102.0,79,00.01
-3584234,13.533518,227.08955,201.0,117,00.01
-5464936,8.499999,29.651163,172.0,68,00.01
-12055290,4.5075765,233.75,72.0,84,00.01
-13885409,3.2692306,75.340904,44.0,56,00.01
-15594733,207.1875,107.36842,19.0,50,00.01
-13424087,4.250001,50.0,51.0,90,00.01
-16512764,85.0,141.66667,9.0,64,00.01
-14414064,252.9762,148.75,36.0,76,00.01
-2859735,12.923976,205.68396,212.0,22,00.00
-7833207,209.84375,29.781021,137.0,7,00.00
-2706770,4.250001,47.66355,214.0,38,00.00
-14216187,18.75,222.3077,39.0,8,00.00
-6191238,14.166666,61.770184,161.0,15,00.00
-7918294,1.3709689,175.66667,135.0,12,00.00
