color,color_hue,color_sat,color_bri,013001_DSC03543.png,percentage
-16448502,177.08333,153.0,10.0,464633,59.08
-16579835,170.0,102.0,5.0,210065,26.71
-16251124,178.5,106.25,12.0,30553,03.89
-16119285,170.0,23.181818,11.0,26039,03.31
-16381948,63.75,127.5,8.0,13603,01.73
-16119290,42.5,102.0,10.0,12100,01.54
-16381685,144.5,115.909096,11.0,6094,00.77
-15594230,15.9375,113.333336,18.0,3649,00.46
-16185852,16.999998,141.66667,9.0,3495,00.44
-15462131,24.285713,89.25,20.0,2401,00.31
-15002351,16.999998,94.44444,27.0,1120,00.14
-13952237,14.166666,142.32559,43.0,999,00.13
-15002867,18.214285,132.22221,27.0,949,00.12
-14410733,22.5,120.416664,36.0,879,00.11
-15135220,6.538461,132.59999,25.0,662,00.08
-15594747,19.615383,184.16666,18.0,569,00.07
-14870252,23.611113,79.137924,29.0,567,00.07
-13950187,27.045454,130.46512,43.0,483,00.06
-15461614,21.25,25.5,20.0,486,00.06
-13423846,28.900002,125.0,51.0,397,00.05
-15987951,177.08333,90.0,17.0,392,00.05
-13427948,9.596775,155.0,51.0,419,00.05
-14870260,32.5,149.48276,29.0,354,00.05
-14478067,15.454546,160.28572,35.0,409,00.05
-13884390,23.611113,104.318184,44.0,409,00.05
-12180716,12.75,182.14287,70.0,344,00.04
-12968429,11.987179,171.46552,58.0,305,00.04
-15464954,0.0,178.5,20.0,347,00.04
-14543599,9.999999,127.5,34.0,270,00.03
-14279914,13.28125,107.36842,38.0,242,00.03
-14345971,21.25,165.4054,37.0,264,00.03
-12897243,28.977274,95.08475,59.0,236,00.03
-15199226,33.055553,191.25,24.0,198,00.03
-14146792,29.21875,102.0,40.0,251,00.03
-16382959,176.53847,195.0,17.0,208,00.03
-12371673,27.321428,106.56717,67.0,176,00.02
-11261674,13.024194,188.21428,84.0,124,00.02
-13163240,17.82258,143.72728,55.0,195,00.02
-15001318,233.75,18.88889,27.0,123,00.02
-13165544,5.483871,143.72728,55.0,109,00.01
-6856907,18.214285,165.49669,151.0,41,00.01
-15528685,212.5,80.52631,19.0,112,00.01
-13693430,4.594594,200.74469,47.0,114,00.01
-10014177,11.215278,178.25243,103.0,94,00.01
-11516106,27.788462,82.875,80.0,97,00.01
-9607334,29.078949,44.44954,109.0,106,00.01
-13029090,29.907406,120.789474,57.0,117,00.01
-6582669,28.687502,65.80645,155.0,41,00.01
-12314862,4.250001,187.5,68.0,45,00.01
-5856362,34.53125,24.578312,166.0,71,00.01
-11579832,36.428574,22.594936,79.0,68,00.01
-9743048,24.166668,121.54205,107.0,55,00.01
-13685721,26.5625,43.404255,47.0,110,00.01
-15002332,187.0,106.25,36.0,28,00.00
-2381144,1.6666665,59.383564,219.0,10,00.00
-7850429,248.2622,153.75,136.0,8,00.00
-3245948,249.06976,106.456314,206.0,3,00.00
-7050918,10.991379,99.932434,148.0,39,00.00
-12893641,69.54545,42.5,66.0,2,00.00
-13819123,29.21875,181.33334,45.0,14,00.00
-2765645,31.25,40.704224,213.0,34,00.00
-11718099,6.640625,105.97403,77.0,38,00.00
-15855349,63.75,90.0,17.0,34,00.00
-1120555,28.900002,26.785715,238.0,33,00.00
