color,color_hue,color_sat,color_bri,012502_DSC03540.png,percentage
-15463668,250.27779,114.75,20.0,127007,16.15
-15989494,224.64285,148.75,12.0,104269,13.26
-15857396,229.5,91.071434,14.0,63035,08.02
-15069939,0.0,127.5,26.0,57698,07.34
-15661301,238.0,150.0,17.0,53080,06.75
-16120569,238.0,127.5,10.0,44833,05.70
-15989754,244.375,170.0,12.0,43877,05.58
-14937582,0.0,91.071434,28.0,36584,04.65
-14478317,2.65625,116.57143,35.0,29563,03.76
-15529977,3.5416658,161.05263,19.0,27266,03.47
-15397871,231.38889,109.28571,21.0,21923,02.79
-15135214,239.54546,112.2,25.0,15742,02.00
-15661563,3.5416658,180.0,17.0,13963,01.78
-16317947,229.5,182.14287,7.0,13128,01.67
-13886956,10.625,139.09091,44.0,10718,01.36
-14938097,3.2692306,118.39285,28.0,9757,01.24
-14084589,5.795454,136.82927,41.0,8629,01.10
-14280682,5.3125,107.36842,38.0,8464,01.08
-14478834,8.095238,153.0,35.0,7164,00.91
-12179687,13.222221,163.92857,70.0,6966,00.89
-15199980,236.78572,74.375,24.0,6482,00.82
-15005179,9.659092,207.77777,27.0,5437,00.69
-13952231,4.722222,106.74419,43.0,5101,00.65
-13493227,10.258621,147.9,50.0,4835,00.61
-13295333,9.807692,125.094345,53.0,3911,00.50
-13492711,8.499999,127.5,50.0,3734,00.47
-14414584,7.589285,198.33334,36.0,3410,00.43
-12968685,10.897435,171.46552,58.0,3188,00.41
-15530223,219.58333,161.05263,19.0,3205,00.41
-13297909,12.142857,202.07547,53.0,2860,00.36
-13954037,11.953125,189.76744,43.0,2681,00.34
-14280679,251.96428,93.947365,38.0,2572,00.33
-12901349,11.953125,138.30508,59.0,2501,00.32
-9812697,19.02985,161.17924,106.0,2414,00.31
-7645653,19.036459,176.11511,139.0,2443,00.31
-12836586,12.302633,161.5,60.0,2444,00.31
-10996709,17.418032,176.76137,88.0,2452,00.31
-15071740,3.8636353,215.76923,26.0,2308,00.29
-9023701,20.400002,162.07628,118.0,2073,00.26
-11261161,13.934427,185.17856,84.0,1846,00.23
-10142685,16.098484,166.63365,101.0,1814,00.23
-10996189,15.235849,153.57954,88.0,1738,00.22
-12051443,10.805085,208.95833,72.0,1543,00.20
-7116491,23.510637,163.06123,147.0,1298,00.17
-10013415,15.25641,193.1068,103.0,1243,00.16
-11915741,11.987179,134.39189,74.0,1292,00.16
-11654897,17.539682,205.96153,78.0,1161,00.15
-15331059,18.888887,104.318184,22.0,1087,00.14
-6393271,20.499998,137.18353,158.0,675,00.09
-5339051,24.353933,130.43105,174.0,626,00.08
-15857648,201.875,127.5,16.0,559,00.07
-5938129,19.088982,182.36363,165.0,528,00.07
-9550051,22.037037,187.77274,110.0,554,00.07
-401753,28.506096,83.97591,249.0,480,00.06
-14086644,2.9310336,180.36584,41.0,496,00.06
-13031902,7.391305,102.89474,57.0,439,00.06
-2578340,26.048388,146.38889,216.0,354,00.05
-7392479,6.9545465,196.15385,143.0,222,00.03
-9226971,8.717948,172.95651,115.0,251,00.03
-10085873,5.373563,217.5,102.0,226,00.03
-13360622,19.999998,166.73077,52.0,138,00.02
-9151671,17.790699,94.52586,116.0,44,00.01
-1388113,24.491526,64.294876,234.0,90,00.01
-6003067,233.75,96.402435,164.0,11,00.00
