color,color_hue,color_sat,color_bri,021905_DSC03564.png,percentage
-16513780,164.6875,170.0,12.0,121204,15.41
-15461356,0.0,0.0,20.0,105660,13.44
-16579567,166.96428,210.0,17.0,78638,10.00
-15000811,42.5,56.666668,27.0,67593,08.59
-15000806,42.5,9.444445,27.0,36802,04.68
-15395559,170.0,40.8,25.0,30604,03.89
-15263724,53.125,42.5,24.0,29910,03.80
-15987694,170.0,85.0,18.0,25586,03.25
-14409189,33.055553,63.75,36.0,22538,02.87
-16053491,170.0,39.23077,13.0,21923,02.79
-15592690,51.0,67.10526,19.0,20376,02.59
-14476011,24.285713,102.0,35.0,16667,02.12
-15132902,198.33333,29.423077,26.0,15421,01.96
-14015717,22.666666,91.071434,42.0,15390,01.96
-14541287,23.611113,67.5,34.0,14959,01.90
-16513530,127.5,85.0,6.0,13138,01.67
-16316404,161.50002,106.25,12.0,12491,01.59
-16251123,177.08333,117.69231,13.0,12153,01.55
-15132909,28.333332,61.199997,25.0,12077,01.54
-16251373,176.53847,174.4737,19.0,11060,01.41
-14409450,33.392857,99.16667,36.0,10379,01.32
-14081514,26.842104,118.17073,41.0,9945,01.26
-15328997,144.5,47.22222,27.0,9635,01.23
-13948387,39.464283,83.023254,43.0,7260,00.92
-16381932,163.92857,178.5,20.0,7273,00.92
-14080222,30.357143,43.536587,41.0,5516,00.70
-16250618,56.666664,85.0,9.0,4784,00.61
-14148072,15.9375,102.0,40.0,4372,00.56
-15132658,38.63636,112.2,25.0,3488,00.44
-13355737,45.535713,67.35849,53.0,3450,00.44
-13359589,18.699999,122.59615,52.0,3252,00.41
-14145256,45.0,105.731705,41.0,2792,00.36
-15987687,170.0,132.59999,25.0,2756,00.35
-11842251,46.04166,79.480515,77.0,2678,00.34
-15855340,148.75,76.5,20.0,2280,00.29
-13684699,46.363632,58.4375,48.0,2133,00.27
-14737382,49.58334,47.8125,32.0,1961,00.25
-3175880,23.07947,186.0145,207.0,1757,00.22
-13489374,23.90625,81.6,50.0,1696,00.22
-5148370,21.736643,188.72882,177.0,1527,00.19
-15724779,177.08333,72.85715,21.0,1228,00.16
-11653094,17.98077,170.0,78.0,1245,00.16
-15000543,162.91667,46.363636,33.0,1236,00.16
-15790325,42.5,68.0,15.0,1141,00.15
-1466296,23.229816,176.2017,233.0,1062,00.14
-15855335,158.4091,112.2,25.0,907,00.12
-7579865,20.198019,183.96428,140.0,854,00.11
-10865121,16.567797,167.16667,90.0,776,00.10
-1795268,24.032738,187.89473,228.0,678,00.09
-9287648,20.731709,183.42105,114.0,545,00.07
-9287900,19.070513,174.4737,114.0,519,00.07
-6398676,18.267544,183.98735,158.0,530,00.07
-330017,36.2037,27.54,250.0,397,00.05
-11775163,63.75,43.012047,83.0,404,00.05
-13619429,40.476192,111.5625,48.0,394,00.05
-14279921,22.173914,154.3421,38.0,345,00.04
-14671836,170.0,28.333334,36.0,264,00.03
-10238996,140.21898,148.02966,236.0,223,00.03
-6514832,37.670452,71.92308,156.0,121,00.02
-4007231,83.3,29.243118,218.0,152,00.02
-15920344,160.55556,172.125,40.0,90,00.01
-4628428,14.06015,183.32433,185.0,114,00.01
-13803364,150.47298,181.4423,156.0,71,00.01
-15129333,62.115387,179.1892,37.0,12,00.00
