color,color_hue,color_sat,color_bri,021904_DSC03563.png,percentage
-16513780,164.6875,170.0,12.0,132770,16.88
-15461357,42.5,12.75,20.0,84149,10.70
-16513774,166.96428,198.33334,18.0,67477,08.58
-15001067,35.416664,56.666668,27.0,51522,06.55
-15527154,42.5,67.10526,19.0,30435,03.87
-14476012,25.5,109.28571,35.0,26925,03.42
-13950182,22.5,100.81396,43.0,23369,02.97
-15395559,170.0,40.8,25.0,22580,02.87
-14935270,21.25,18.214287,28.0,22277,02.83
-14409189,33.055553,63.75,36.0,21610,02.75
-15132909,28.333332,61.199997,25.0,21430,02.72
-13950443,25.113638,130.46512,43.0,19026,02.42
-16053491,170.0,39.23077,13.0,17764,02.26
-15263725,51.0,53.125,24.0,17375,02.21
-16053486,170.0,99.16667,18.0,17233,02.19
-16251123,177.08333,117.69231,13.0,15797,02.01
-14541287,23.611113,67.5,34.0,15539,01.98
-16381932,163.92857,178.5,20.0,15460,01.97
-14409450,33.392857,99.16667,36.0,14863,01.89
-16513786,148.75,85.0,6.0,13418,01.71
-15132902,198.33333,29.423077,26.0,12717,01.62
-16316403,162.91667,117.69231,13.0,12598,01.60
-13424101,26.5625,120.0,51.0,8956,01.14
-13948387,39.464283,83.023254,43.0,8510,01.08
-14082283,21.25,124.39024,41.0,6099,00.78
-13490662,21.25,122.399994,50.0,6100,00.78
-13490922,22.767857,142.8,50.0,6095,00.78
-15329252,155.83333,54.642857,28.0,5232,00.67
-14148071,14.166666,95.625,40.0,4968,00.63
-13293022,17.894737,91.41509,53.0,4934,00.63
-12900069,18.59375,138.30508,59.0,4842,00.62
-13228265,21.935484,146.38889,54.0,4576,00.58
-15001586,32.69231,122.77778,27.0,4291,00.55
-16184826,53.125,102.0,10.0,4242,00.54
-13948126,42.5,53.372093,43.0,4133,00.53
-14146527,18.214285,44.625,40.0,3956,00.50
-13948648,38.026314,112.674416,43.0,3604,00.46
-13290203,42.5,76.98113,53.0,3505,00.45
-12243686,18.77907,158.91304,69.0,3075,00.39
-16250601,167.16667,166.30435,23.0,2636,00.34
-12104909,49.58334,81.6,75.0,2453,00.31
-15724783,191.25,30.0,17.0,1737,00.22
-14410994,25.113638,155.83333,36.0,1586,00.20
-144275,28.038195,145.13834,253.0,1432,00.18
-11783133,17.621952,137.5658,76.0,1323,00.17
-1661360,24.366665,166.30435,230.0,1240,00.16
-11586789,19.615383,167.8481,79.0,1196,00.15
-13618904,47.222225,46.836735,49.0,1098,00.14
-9418974,20.160257,177.5893,112.0,1084,00.14
-6461907,21.629463,181.91083,157.0,1055,00.13
-15000799,170.0,46.363636,33.0,943,00.12
-4354231,25.646551,156.50793,189.0,738,00.09
-13488100,38.63636,112.2,50.0,644,00.08
-14541025,0.0,22.5,34.0,574,00.07
-12697045,49.891304,88.86363,66.0,553,00.07
-10788537,52.30769,68.35051,97.0,511,00.06
-473763,28.516127,159.375,248.0,439,00.06
-395551,37.1875,24.578312,249.0,452,00.06
-10144229,15.506758,186.8317,101.0,369,00.05
-1846124,34.43038,88.7445,227.0,359,00.05
-10237454,139.6853,150.68181,242.0,239,00.03
-5749440,2.0432694,157.85715,168.0,154,00.02
-13542245,152.75941,174.3871,155.0,70,00.01
-14337701,154.25926,151.3187,91.0,95,00.01
