color,color_hue,color_sat,color_bri,012602_DSC03542.png,percentage
-16514042,170.0,85.0,6.0,386130,49.10
-16382967,187.0,141.66667,9.0,150251,19.11
-16120571,0.0,127.5,10.0,87968,11.19
-16186103,212.5,113.333336,9.0,40941,05.21
-15463927,3.8636353,140.25,20.0,26813,03.41
-15595514,7.0833344,170.0,18.0,20026,02.55
-15069941,5.6666665,147.11539,26.0,15911,02.02
-15922938,18.214285,137.3077,13.0,15021,01.91
-15661563,3.5416658,180.0,17.0,10891,01.38
-15922935,0.0,78.46154,13.0,10123,01.29
-14478836,11.086957,167.57143,35.0,4615,00.59
-15004666,12.142857,198.33334,27.0,3400,00.43
-15726840,250.27779,143.4375,16.0,2506,00.32
-14872308,12.499999,149.48276,29.0,2047,00.26
-14150386,11.442308,165.75,40.0,1383,00.18
-14610934,7.391305,177.72726,33.0,830,00.11
-14084591,8.854166,149.26828,41.0,774,00.10
-15071738,0.0,196.15385,26.0,604,00.08
-13886957,11.899999,144.88637,44.0,633,00.08
-14872047,3.5416658,105.51724,29.0,435,00.06
-14478318,4.9999995,123.85714,35.0,415,00.05
-14545915,10.258621,217.5,34.0,310,00.04
-13163240,17.82258,143.72728,55.0,351,00.04
-16447229,70.833336,170.0,9.0,221,00.03
-14214633,7.96875,104.61539,39.0,201,00.03
-13493228,11.333333,153.0,50.0,226,00.03
-14084345,19.999998,211.46341,41.0,235,00.03
-12309480,19.31818,165.0,68.0,158,00.02
-11717866,22.40909,182.14287,77.0,172,00.02
-15068922,23.375,196.15385,26.0,191,00.02
-13297399,15.454546,211.69812,53.0,132,00.02
-13360112,23.611113,176.53847,52.0,140,00.02
-15201261,230.20834,127.5,24.0,184,00.02
-10992081,23.841463,118.806816,88.0,173,00.02
-11651289,17.435896,127.5,78.0,172,00.02
-201038,34.459457,74.88096,252.0,150,00.02
-12044761,19.31818,116.875,72.0,160,00.02
-6920148,24.056606,180.2,150.0,84,00.01
-15069652,187.0,173.86363,44.0,42,00.01
-5068617,198.33333,20.90164,183.0,41,00.01
-5860766,29.999998,104.45783,166.0,94,00.01
-7572905,21.650944,96.53571,140.0,80,00.01
-9479899,29.864864,170.0,111.0,56,00.01
-3233176,27.5,126.26213,206.0,72,00.01
-1649769,32.27848,87.58696,230.0,106,00.01
-529706,25.757578,34.06883,247.0,41,00.01
-3557738,26.666664,64.70149,201.0,47,00.01
-15199980,236.78572,74.375,24.0,50,00.01
-15988975,191.25,150.0,17.0,87,00.01
-13825263,247.5,192.66667,45.0,88,00.01
-14087672,2.5757575,205.24391,41.0,98,00.01
-11988213,5.483871,216.57533,73.0,54,00.01
-9215406,20.60606,73.17391,115.0,65,00.01
-13031133,11.590908,98.42105,57.0,114,00.01
-9940430,25.185184,132.40385,104.0,61,00.01
-9873846,16.451612,75.28572,105.0,83,00.01
-2245541,31.711538,150.0,221.0,17,00.00
-13621462,240.83333,47.8125,48.0,20,00.00
-3515063,6.589148,162.84654,202.0,15,00.00
-9692920,7.225001,236.11111,108.0,38,00.00
-11978172,226.66667,52.397263,73.0,11,00.00
-6680046,0.0,225.19481,154.0,38,00.00
-14674614,178.82076,182.63513,74.0,22,00.00
-9472874,164.55128,66.299995,150.0,15,00.00
