color,color_hue,color_sat,color_bri,021902_DSC03561.png,percentage
-16448502,177.08333,153.0,10.0,159277,20.25
-15463668,250.27779,114.75,20.0,88771,11.29
-15135220,6.538461,132.59999,25.0,61173,07.78
-16120309,204.0,115.909096,11.0,49315,06.27
-15922931,212.5,78.46154,13.0,46528,05.92
-14478579,11.590908,160.28572,35.0,30696,03.90
-14937583,3.8636353,100.178566,28.0,28583,03.63
-16514298,184.16667,127.5,6.0,26591,03.38
-14937843,11.333333,136.60713,28.0,24111,03.07
-15528687,226.66667,80.52631,19.0,22921,02.91
-13886957,11.899999,144.88637,44.0,20484,02.60
-14478062,7.4999995,123.85714,35.0,20386,02.59
-13427436,12.33871,155.0,51.0,15926,02.03
-15726839,245.55556,143.4375,16.0,13710,01.74
-15529722,9.807692,174.4737,19.0,13179,01.68
-14084335,10.625,149.26828,41.0,11360,01.44
-14084850,11.018519,167.92683,41.0,11091,01.41
-12114153,14.166666,172.39436,71.0,10430,01.33
-15134959,246.50002,102.0,25.0,9209,01.17
-14280429,13.421052,127.5,38.0,8981,01.14
-12836587,13.076922,165.75,60.0,7865,01.00
-15989498,248.92856,148.75,12.0,7600,00.97
-13164007,12.75,139.09091,55.0,7228,00.92
-15988473,16.999998,106.25,12.0,7055,00.90
-13099500,11.805556,163.92857,56.0,6208,00.79
-15332858,10.625,185.45454,22.0,5926,00.75
-15857136,198.33333,95.625,16.0,5744,00.73
-11326185,15.583333,184.33736,83.0,5412,00.69
-15331310,240.83333,69.545456,22.0,4963,00.63
-10931685,15.7661295,177.64046,89.0,4781,00.61
-10012646,16.558441,190.63107,103.0,3783,00.48
-16317167,177.08333,180.0,17.0,3540,00.45
-11982575,18.214285,195.61644,73.0,3309,00.42
-14148839,5.6666665,95.625,40.0,3108,00.40
-5151445,18.395521,193.05084,177.0,2844,00.36
-9094117,15.583333,196.15385,117.0,2663,00.34
-7911907,16.43868,200.22221,135.0,2350,00.30
-6728669,17.648306,196.66667,153.0,2394,00.30
-9091546,17.215189,172.17949,117.0,2306,00.29
-13362674,13.421052,186.34615,52.0,2259,00.29
-7911390,15.990099,190.77777,135.0,2190,00.28
-13953010,14.655172,171.97675,43.0,2073,00.26
-6005978,17.876984,195.91463,164.0,1988,00.25
-15331059,18.888887,104.318184,22.0,1996,00.25
-8764899,16.9086,194.38524,122.0,2004,00.25
-14937319,226.66667,81.96429,28.0,1619,00.21
-6992099,17.708334,205.36913,149.0,1385,00.18
-13688552,16.630436,124.78723,47.0,1341,00.17
-7515351,17.85,180.85107,141.0,1115,00.14
-14545398,7.0833344,180.0,34.0,999,00.13
-11586780,14.825581,138.79747,79.0,1023,00.13
-3574480,19.166666,194.10448,201.0,862,00.11
-13162461,10.625,92.72727,55.0,668,00.08
-3109048,22.187502,166.73077,208.0,591,00.08
-9749470,15.136987,173.97197,107.0,538,00.07
-1846347,27.71739,51.674007,227.0,534,00.07
-7117239,16.655405,128.36734,147.0,457,00.06
-11057869,21.25,105.51724,87.0,320,00.04
-15135207,212.5,112.2,25.0,228,00.03
-10136502,15.740742,68.16832,101.0,252,00.03
-6397654,20.15086,187.2152,158.0,41,00.01
-11724018,8.769841,208.63637,77.0,104,00.01
-11320426,178.19276,141.1,150.0,25,00.00
-16051702,79.6875,113.333336,18.0,19,00.00
