color,color_hue,color_sat,color_bri,012601_DSC03541.png,percentage
-16055031,226.66667,139.09091,11.0,188110,23.92
-16120826,240.83333,153.0,10.0,143840,18.29
-15857396,229.5,91.071434,14.0,124026,15.77
-15529204,249.6875,107.36842,19.0,84273,10.72
-16383227,226.66667,127.5,6.0,47378,06.02
-16382967,187.0,141.66667,9.0,46197,05.87
-15726837,236.11111,143.4375,16.0,23643,03.01
-15069940,3.0357153,137.3077,26.0,21883,02.78
-15595514,7.0833344,170.0,18.0,16011,02.04
-15528943,224.64285,93.947365,19.0,14265,01.81
-15922938,18.214285,137.3077,13.0,13487,01.71
-15596027,3.2692306,184.16666,18.0,7025,00.89
-14478579,11.590908,160.28572,35.0,6194,00.79
-14937583,3.8636353,100.178566,28.0,4413,00.56
-14937843,11.333333,136.60713,28.0,4026,00.51
-15004923,11.590908,207.77777,27.0,3708,00.47
-14478318,4.9999995,123.85714,35.0,2510,00.32
-12113641,15.9375,172.39436,71.0,2504,00.32
-15134959,246.50002,102.0,25.0,2250,00.29
-13821421,11.442308,147.33334,45.0,2314,00.29
-13427437,13.28125,160.0,51.0,2224,00.28
-14019315,11.724139,176.07143,42.0,2054,00.26
-14019055,8.499999,151.7857,42.0,1826,00.23
-12901612,16.346153,168.55933,59.0,1374,00.17
-15071742,7.0833344,235.38461,26.0,1293,00.16
-13163752,15.080646,143.72728,55.0,1268,00.16
-14545398,7.0833344,180.0,34.0,1293,00.16
-11062245,17.708334,175.86208,87.0,1175,00.15
-13362932,13.812499,196.15385,52.0,1176,00.15
-15331310,240.83333,69.545456,22.0,1114,00.14
-14349563,7.96875,220.54054,37.0,1099,00.14
-15071735,248.625,196.15385,26.0,1111,00.14
-11260648,14.875001,182.14287,84.0,1001,00.13
-13165291,9.999999,157.63637,55.0,910,00.12
-15530478,215.76923,174.4737,19.0,751,00.10
-11850991,19.051723,197.2,75.0,800,00.10
-14214890,7.4999995,111.15385,39.0,734,00.09
-13953526,15.454546,195.69768,43.0,741,00.09
-15791600,205.41667,95.625,16.0,638,00.08
-9877723,21.25,165.14287,105.0,567,00.07
-16381690,85.0,85.0,9.0,530,00.07
-11455451,14.488635,138.51851,81.0,554,00.07
-13693686,3.4459465,200.74469,47.0,432,00.05
-9220049,20.624998,150.78261,115.0,373,00.05
-13098736,18.0625,182.14287,56.0,402,00.05
-12052467,7.92373,208.95833,72.0,363,00.05
-10012635,12.23485,163.39806,103.0,325,00.04
-1784154,21.935484,69.34211,228.0,280,00.04
-15265524,19.31818,121.95652,23.0,279,00.04
-7181997,14.8412695,110.03425,146.0,249,00.03
-6922704,19.166666,173.40001,150.0,166,00.02
-10210278,14.932434,188.7,100.0,186,00.02
-10075363,22.12329,182.5,102.0,152,00.02
-13162973,6.374999,92.72727,55.0,127,00.02
-3497369,25.328283,124.97525,202.0,123,00.02
-14871527,231.38889,79.137924,29.0,195,00.02
-10087145,253.95062,202.5,102.0,74,00.01
-9414581,14.932434,84.241066,112.0,109,00.01
-10927310,18.52564,111.74158,89.0,72,00.01
-4097919,249.76028,96.45078,193.0,110,00.01
-15989742,194.28572,198.33334,18.0,74,00.01
-6602442,4.628714,166.16129,155.0,18,00.00
-11389111,226.66667,83.96342,82.0,17,00.00
-15920633,61.818184,155.83333,18.0,16,00.00
