color,color_hue,color_sat,color_bri,014802_DSC03554.png,percentage
-16513780,164.6875,170.0,12.0,128028,16.28
-15461357,42.5,12.75,20.0,103155,13.12
-16119022,164.6875,113.333336,18.0,83834,10.66
-16119027,155.83333,58.846153,13.0,77881,09.90
-16381683,151.78572,137.3077,13.0,61313,07.80
-16381679,158.4091,165.0,17.0,29269,03.72
-15263725,51.0,53.125,24.0,27830,03.54
-15592690,51.0,67.10526,19.0,27779,03.53
-16382447,170.0,165.0,17.0,26743,03.40
-15066347,49.58334,56.666668,27.0,24787,03.15
-15461095,161.50002,51.0,25.0,20923,02.66
-15000807,42.5,18.88889,27.0,19279,02.45
-15198442,21.25,21.25,24.0,17353,02.21
-16251124,178.5,106.25,12.0,12933,01.64
-16251115,173.03572,170.0,21.0,12331,01.57
-16184826,53.125,102.0,10.0,10691,01.36
-14474213,47.222225,63.75,36.0,9751,01.24
-15855340,148.75,76.5,20.0,9626,01.22
-16448250,170.0,42.5,6.0,9082,01.15
-15328998,138.125,39.23077,26.0,7011,00.89
-15987688,170.0,127.5,24.0,6768,00.86
-14539754,48.571426,99.16667,36.0,6217,00.79
-14276325,51.60714,87.07317,41.0,6165,00.78
-14013412,47.8125,92.72727,44.0,6013,00.76
-16381946,85.0,63.75,8.0,3637,00.46
-15855603,70.833336,47.8125,16.0,3335,00.42
-13487076,46.04166,117.69231,52.0,3134,00.40
-13158374,43.916664,136.60713,56.0,2658,00.34
-15263475,49.58334,122.399994,25.0,2503,00.32
-14802667,53.125,92.72727,33.0,2545,00.32
-14737383,48.571426,55.78125,32.0,2553,00.32
-14276330,49.21052,118.17073,41.0,2059,00.26
-13749988,48.571426,109.28571,49.0,2035,00.26
-13487070,47.222225,88.26923,52.0,1750,00.22
-14013418,46.363632,127.5,44.0,1630,00.21
-15855079,154.54544,112.2,25.0,1501,00.19
-13223646,48.04348,102.89474,57.0,1323,00.17
-13026267,48.04348,97.75,60.0,1175,00.15
-14342623,51.0,33.55263,38.0,1208,00.15
-13947615,49.58334,68.0,45.0,1170,00.15
-12171480,43.870968,111.33803,71.0,1213,00.15
-13749995,47.053574,145.7143,49.0,907,00.12
-11315923,44.625,120.0,85.0,767,00.10
-11052749,44.736843,108.8764,89.0,811,00.10
-13749982,51.0,78.061226,49.0,567,00.07
-10526154,45.397724,114.48979,98.0,432,00.05
-15528946,242.85715,93.947365,19.0,394,00.05
-14280428,11.805556,120.789474,38.0,332,00.04
-16185850,0.0,85.0,9.0,221,00.03
-12697308,46.896557,113.76923,65.0,243,00.03
-11264229,2.982455,173.0357,84.0,173,00.02
-3940418,78.56061,37.735424,223.0,130,00.02
-132902,36.428574,35.27668,253.0,184,00.02
-6054550,38.026314,89.171776,163.0,139,00.02
-15920634,60.208336,170.0,18.0,141,00.02
-15197405,158.4091,80.14286,35.0,155,00.02
-16316391,167.6389,183.6,25.0,114,00.01
-5950663,252.76317,176.18182,165.0,114,00.01
-11361591,141.42857,150.97015,201.0,78,00.01
-14868210,51.447365,146.81818,33.0,110,00.01
-14080495,37.1875,149.26828,41.0,42,00.01
-13618640,85.0,10.2,50.0,92,00.01
-11050934,59.886368,58.4375,96.0,58,00.01
-15391978,88.03571,102.0,35.0,37,00.00
