color,color_hue,color_sat,color_bri,014301_DSC03549.png,percentage
-16579837,0.0,0.0,3.0,310783,39.52
-16120828,0.0,153.0,10.0,229271,29.15
-15922938,18.214285,137.3077,13.0,48400,06.15
-16448503,178.5,141.66667,9.0,26946,03.43
-15857400,7.0833344,109.28571,14.0,24453,03.11
-15595258,10.625,170.0,18.0,24308,03.09
-16055031,226.66667,139.09091,11.0,21285,02.71
-15463671,7.727273,140.25,20.0,16127,02.05
-15070198,5.3125,156.92308,26.0,14521,01.85
-15661563,3.5416658,180.0,17.0,9962,01.27
-14413300,10.625,170.0,36.0,6470,00.82
-15070458,10.625,196.15385,26.0,5264,00.67
-13954293,10.625,189.76744,43.0,3787,00.48
-16447227,85.0,113.333336,9.0,2834,00.36
-12838387,11.75532,199.75,60.0,2790,00.35
-13429493,10.625,200.0,51.0,2684,00.34
-12903407,11.130953,181.52542,59.0,2617,00.33
-13362930,12.302633,186.34615,52.0,2272,00.29
-14545398,7.0833344,180.0,34.0,2220,00.28
-15661303,246.50002,150.0,17.0,2134,00.27
-12114924,13.333332,183.16902,71.0,2003,00.25
-13888760,12.986112,208.63637,44.0,1831,00.23
-12379380,11.590908,209.32835,67.0,1792,00.23
-14872307,10.625,140.68965,29.0,1574,00.20
-11131885,10.783583,198.6628,86.0,1582,00.20
-11854835,10.282259,210.8,75.0,1493,00.19
-13036021,10.163044,205.78947,57.0,1436,00.18
-13362415,12.142857,171.63461,52.0,1209,00.15
-14084334,9.239131,143.04878,41.0,984,00.13
-9951725,9.499999,208.41347,104.0,1014,00.13
-12836587,13.076922,165.75,60.0,1057,00.13
-7523055,12.33871,224.25533,141.0,932,00.12
-12313071,10.833333,191.25,68.0,816,00.10
-14349050,9.596775,213.64864,37.0,801,00.10
-8967405,10.200001,214.28572,119.0,787,00.10
-10935794,11.333333,214.88763,89.0,813,00.10
-5222891,15.629032,224.57387,176.0,701,00.09
-11917296,17.586206,199.86487,74.0,525,00.07
-11396080,7.727273,205.24391,82.0,515,00.07
-13494510,6.640625,163.2,50.0,508,00.06
-2921956,18.114754,221.16115,211.0,484,00.06
-15071739,2.0238094,205.96153,26.0,357,00.05
-11264755,9.577465,215.5357,84.0,418,00.05
-12380664,10.084745,224.55223,67.0,415,00.05
-14872046,0.0,96.72414,29.0,369,00.05
-9426159,11.631578,216.29463,112.0,326,00.04
-10532561,23.02083,128.8421,95.0,282,00.04
-11585754,17.621952,132.34178,79.0,285,00.04
-663646,31.23494,86.38776,245.0,239,00.03
-4481689,27.321428,114.545456,187.0,208,00.03
-13032167,15.9375,143.1579,57.0,258,00.03
-9412528,21.25,72.85715,112.0,128,00.02
-15398126,225.25,121.42857,21.0,143,00.02
-817110,19.875622,210.92592,243.0,173,00.02
-6598879,16.024591,200.70969,155.0,149,00.02
-13622234,247.91666,63.75,48.0,126,00.02
-15199992,23.90625,170.0,24.0,147,00.02
-3163741,21.25,54.2029,207.0,75,00.01
-13360622,19.999998,166.73077,52.0,79,00.01
-13562871,3.1874995,208.16327,49.0,69,00.01
-10017001,8.499999,198.05824,103.0,66,00.01
-6460078,15.3,121.815285,157.0,86,00.01
-14149042,181.44232,170.0,78.0,19,00.00
-7067096,0.78703654,186.08107,148.0,30,00.00
